location,distance_to_CMU,duration_CMU,bus_distance_CMU,distance_to_downtown,duration_downtown,bus_distance_downtown
40.442099;-79.913888,3435.0,1345.0,1225.0,9294.0,2434.0,1225.0
40.459800;-79.822400,14173.0,3606.0,832.0,19589.0,4073.0,832.0
40.443273;-79.890196,7332.0,1765.0,416.0,12833.0,2620.0,416.0
40.545068;-80.030677,30791.0,5487.0,1031.0,25000.0,3812.0,1031.0
40.442603;-79.892793,5154.0,1309.0,742.0,13160.0,2857.0,743.0
40.443430;-79.941330,222.0,154.0,222.0,6346.0,1456.0,324.0
40.442300;-79.983000,4770.0,1211.0,702.0,2417.0,903.0,601.0
40.460429;-79.934742,4227.0,1665.0,257.0,7142.0,1689.0,413.0
40.433287;-79.925055,2944.0,943.0,734.0,8803.0,2032.0,734.0
40.455160;-79.947712,2534.0,1254.0,74.0,5751.0,1313.0,228.0
